Cacofonía;Cacophony
Hedor;Stench
Llovizna;Drizzle
Impulso;Speed Boost
Armadura batalla;Battle Armor
Robustez;Sturdy
Humedad;Damp
Flexibilidad;Limber
Velo arena;Sand Veil
Electricidad estática;Static
Absorbe electricidad;Volt Absorb
Absorbe agua;Water Absorb
Despiste;Oblivious
Aclimatación;Cloud Nine
Ojo compuesto;Compound Eyes
Insomnio;Insomnia
Cambio color;Color Change
Inmunidad;Immunity
Absorbe fuego;Flash Fire
Polvo escudo;Shield Dust
Ritmo propio;Own Tempo
Ventosas;Suction Cups
Intimidación;Intimidate
Sombra trampa;Shadow Tag
Piel tosca;Rough Skin
Superguarda;Wonder Guard
Levitación;Levitate
Efecto espora;Effect Spore
Sincronía;Synchronize
Cuerpo puro;Clear Body
Cura natural;Natural Cure
Pararrayos;Lightning Rod
Dicha;Serene Grace
Nado rápido;Swift Swim
Clorofila;Chlorophyll
Iluminación;Illuminate
Calco;Trace
Potencia;Huge Power
Punto tóxico;Poison Point
Fuerza mental;Inner Focus
Escudo magma;Magma Armor
Velo agua;Water Veil
Imán;Magnet Pull
Insonorizar;Soundproof
Cura lluvia;Rain Dish
Chorro arena;Sand Stream
Presión;Pressure
Sebo;Thick Fat
Madrugar;Early Bird
Cuerpo llama;Flame Body
Fuga;Run Away
Vista lince;Keen Eye
Corte fuerte;Hyper Cutter
Recogida;Pickup
Pereza;Truant
Entusiasmo;Hustle
Gran encanto;Cute Charm
Más;Plus
Menos;Minus
Predicción;Forecast
Viscosidad;Sticky Hold
Mudar;Shed Skin
Agallas;Guts
Escama especial;Marvel Scale
Viscosecreción;Liquid Ooze
Espesura;Overgrow
Mar llamas;Blaze
Torrente;Torrent
Enjambre;Swarm
Cabeza roca;Rock Head
Sequía;Drought
Trampa arena;Arena Trap
Espíritu vital;Vital Spirit
Humo blanco;White Smoke
Energía pura;Pure Power
Caparazón;Shell Armor
Esclusa de aire;Air Lock
Tumbos;Tangled Feet
Electromotor;Motor Drive
Rivalidad;Rivalry
Impasible;Steadfast
Manto níveo;Snow Cloak
Gula;Gluttony
Irascible;Anger Point
Liviano;Unburden
Ignífugo;Heatproof
Simple;Simple
Piel seca;Dry Skin
Descarga;Download
Puño férreo;Iron Fist
Antídoto;Poison Heal
Adaptable;Adaptability
Encadenado;Skill Link
Hidratación;Hydration
Poder solar;Solar Power
Pies rápidos;Quick Feet
Normalidad;Normalize
Francotirador;Sniper
Muro mágico;Magic Guard
Indefenso;No Guard
Rezagado;Stall
Experto;Technician
Defensa hoja;Leaf Guard
Zoquete;Klutz
Rompemoldes;Mold Breaker
Afortunado;Super Luck
Detonación;Aftermath
Anticipación;Anticipation
Alerta;Forewarn
Ignorante;Unaware
Cromolente;Tinted Lens
Filtro;Filter
Inicio lento;Slow Start
Intrépido;Scrappy
Colector;Storm Drain
Gélido;Ice Body
Roca sólida;Solid Rock
Nevada;Snow Warning
Recogemiel;Honey Gather
Cacheo;Frisk
Audaz;Reckless
Multitipo;Multitype
Don floral;Flower Gift
Mal sueño;Bad Dreams
Hurto;Pickpocket
Potencia bruta;Sheer Force
Respondón;Contrary
Nerviosismo;Unnerve
Competitivo;Defiant
Flaqueza;Defeatist
Cuerpo maldito;Cursed Body
Alma cura;Healer
Compiescolta;Friend Guard
Armadura frágil;Weak Armor
Metal pesado;Heavy Metal
Metal liviano;Light Metal
Multiescamas;Multiscale
Ímpetu tóxico;Toxic Boost
Ímpetu ardiente;Flare Boost
Cosecha;Harvest
Telepatía;Telepathy
Veleta;Moody
Funda;Overcoat
Toque tóxico;Poison Touch
Regeneración;Regenerator
Sacapecho;Big Pecks
Ímpetu arena;Sand Rush
Piel milagro;Wonder Skin
Cálculo final;Analytic
Ilusión;Illusion
Impostor;Imposter
Allanamiento;Infiltrator
Momia;Mummy
Autoestima;Moxie
Justiciero;Justified
Cobardía;Rattled
