en;es
10,000,000 Volt Thunderbolt;Gigarrayo fulminante
Absorb;Absorber
Accelerock;Roca veloz
Acid Armor;Armadura ácida
Acid Downpour;Diluvio corrosivo
Acid Spray;Bomba ácida
Acid;Ácido
Acrobatics;Acróbata
Acupressure;Acupresión
Aerial Ace;Golpe aéreo
Aeroblast;Aerochorro
After You;Cede paso
Agility;Agilidad
Air Cutter;Aire afilado
Air Slash;Tajo aéreo
All-Out Pummeling;Ráfaga demoledora
Alluring Voice;Canto encantador
Ally Switch;Cambio de banda
Amnesia;Amnesia
Anchor Shot;Anclaje
Ancient Power;Poder pasado
Apple Acid;Ácido málico
Aqua Cutter;Tajo acuático
Aqua Jet;Acua jet
Aqua Ring;Acua aro
Aqua Step;Danza acuática
Aqua Tail;Acua cola
Arm Thrust;Empujón
Armor Cannon;Cañón armadura
Aromatherapy;Aromaterapia
Aromatic Mist;Niebla aromática
Assist;Ayuda
Assurance;Buena baza
Astonish;Impresionar
Astral Barrage;Orbes espectro
Attack Order;Al ataque
Attract;Atracción
Aura Sphere;Esfera aural
Aura Wheel;Rueda aural
Aurora Beam;Rayo aurora
Aurora Veil;Velo aurora
Autotomize;Aligerar
Avalanche;Alud
Axe Kick;Patada hacha
Baby-Doll Eyes;Ojitos tiernos
Baddy Bad;Umbreozona
Baneful Bunker;Búnker
Barb Barrage;Mil púas tóxicas
Barrage;Bombardeo
Barrier;Barrera
Baton Pass;Relevo
Beak Blast;Pico cañón
Beat Up;Paliza
Behemoth Bash;Embate supremo
Behemoth Blade;Tajo supremo
Belch;Eructo
Belly Drum;Tambor
Bestow;Ofrenda
Bide;Venganza
Bind;Atadura
Bite;Mordisco
Bitter Blade;Espada lamento
Bitter Malice;Rencor reprimido
Black Hole Eclipse;Agujero negro aniquilador
Blast Burn;Anillo ígneo
Blaze Kick;Patada ígnea
Blazing Torque;Pirochoque
Bleakwind Storm;Vendaval gélido
Blizzard;Ventisca
Block;Bloqueo
Blood Moon;Luna roja
Bloom Doom;Megatón floral
Blue Flare;Llama azul
Body Press;Plancha corporal
Body Slam;Golpe cuerpo
Bolt Beak;Electropico
Bolt Strike;Ataque fulgor
Bone Club;Hueso palo
Bone Rush;Ataque óseo
Bonemerang;Huesomerang
Boomburst;Estruendo
Bounce;Bote
Bouncy Bubble;Vapodrenaje
Branch Poke;Punzada rama
Brave Bird;Pájaro osado
Breaking Swipe;Vasto impacto
Breakneck Blitz;Carrera arrolladora
Brick Break;Demolición
Brine;Salmuera
Brutal Swing;Giro vil
Bubble Beam;Rayo burbuja
Bubble;Burbuja
Bug Bite;Picadura
Bug Buzz;Zumbido
Bulk Up;Corpulencia
Bulldoze;Terratemblor
Bullet Punch;Puño bala
Bullet Seed;Semilladora
Burn Up;Llama final
Burning Bulwark;Llama protectora
Burning Jealousy;Envidia ardiente
Buzzy Buzz;Joltioparálisis
Calm Mind;Paz mental
Camouflage;Camuflaje
Captivate;Seducción
Catastropika;Pikavoltio letal
Ceaseless Edge;Tajo metralla
Celebrate;Celebración
Charge Beam;Rayo carga
Charge;Carga
Charm;Encanto
Chatter;Cháchara
Chilling Water;Agua fría
Chilly Reception;Fría acogida
Chip Away;Guardia baja
Chloroblast;Clorofiláser
Circle Throw;Llave giro
Clamp;Tenaza
Clanging Scales;Fragor escamas
Clangorous Soul;Estruendo escama
Clangorous Soulblaze;Estruendo implacable
Clear Smog;Niebla clara
Close Combat;A bocajarro
Coaching;Motivación
Coil;Enrosque
Collision Course;Nitrochoque
Combat Torque;Pugnachoque
Comet Punch;Puño cometa
Comeuppance;Resarcimiento
Confide;Confidencia
Confuse Ray;Rayo confuso
Confusion;Confusión
Constrict;Restricción
Continental Crush;Aplastamiento gigalítico
Conversion 2;Conversión 2
Conversion;Conversión
Copycat;Copión
Core Enforcer;Núcleo castigo
Corkscrew Crash;Hélice trepanadora
Corrosive Gas;Gas corrosivo
Cosmic Power;Masa cósmica
Cotton Guard;Rizo algodón
Cotton Spore;Esporagodón
Counter;Contraataque
Court Change;Cambio de cancha
Covet;Antojo
Crabhammer;Martillazo
Crafty Shield;Truco defensa
Cross Chop;Tajo cruzado
Cross Poison;Veneno X
Crunch;Triturar
Crush Claw;Garra brutal
Crush Grip;Agarrón
Curse;Maldición
Cut;Corte
Dark Pulse;Pulso umbrío
Dark Void;Brecha negra
Darkest Lariat;Lariat oscuro
Dazzling Gleam;Brillo mágico
Decorate;Decoración
Defend Order;A defender
Defense Curl;Rizo defensa
Defog;Despejar
Destiny Bond;Mismo destino
Detect;Detección
Devastating Drake;Dracoaliento devastador
Diamond Storm;Tormenta de diamantes
Dig;Excavar
Dire Claw;Garra nociva
Disable;Anulación
Disarming Voice;Voz cautivadora
Discharge;Chispazo
Dive;Buceo
Dizzy Punch;Puño mareo
Doodle;Decalcomanía
Doom Desire;Deseo oculto
Double Hit;Doble golpe
Double Iron Bash;Ferropuño doble
Double Kick;Doble patada
Double Shock;Electropalmas
Double Slap;Doble bofetón
Double Team;Doble equipo
Double-Edge;Doble filo
Draco Meteor;Cometa draco
Dragon Ascent;Ascenso draco
Dragon Breath;Dragoaliento
Dragon Cheer;Bramido dragón
Dragon Claw;Garra dragón
Dragon Dance;Danza dragón
Dragon Darts;Dracoflechas
Dragon Energy;Dracoenergía
Dragon Hammer;Martillo dragón
Dragon Pulse;Pulso dragón
Dragon Rage;Furia dragón
Dragon Rush;Carga dragón
Dragon Tail;Cola dragón
Drain Punch;Puño drenaje
Draining Kiss;Beso drenaje
Dream Eater;Comesueños
Drill Peck;Pico taladro
Drill Run;Taladradora
Drum Beating;Batería asalto
Dual Chop;Golpe bis
Dual Wingbeat;Ala bis
Dynamax Cannon;Cañón dinamax
Dynamic Punch;Puño dinámico
Earth Power;Tierra viva
Earthquake;Terremoto
Echoed Voice;Eco voz
Eerie Impulse;Onda anómala
Eerie Spell;Conjuro funesto
Egg Bomb;Bomba huevo
Electric Terrain;Campo eléctrico
Electrify;Electrificación
Electro Ball;Bola voltio
Electro Drift;Electroderrape
Electro Shot;Electrorrayo
Electroweb;Electrotela
Embargo;Embargo
Ember;Ascuas
Encore;Otra vez
Endeavor;Esfuerzo
Endure;Aguante
Energy Ball;Energibola
Entrainment;Danza amiga
Eruption;Estallido
Esper Wing;Ala aural
Eternabeam;Rayo infinito
Expanding Force;Vasta fuerza
Explosion;Explosión
Extrasensory;Paranormal
Extreme Evoboost;Novena potencia
Extreme Speed;Velocidad extrema
Facade;Fachada
Fairy Lock;Cerrojo feérico
Fairy Wind;Viento feérico
Fake Out;Sorpresa
Fake Tears;Llanto falso
False Surrender;Irreverencia
False Swipe;Falso tortazo
Feather Dance;Danza pluma
Feint Attack;Finta
Feint;Amago
Fell Stinger;Aguijón letal
Fickle Beam;Láser veleidoso
Fiery Dance;Danza llama
Fiery Wrath;Furia candente
Fillet Away;Deslome
Final Gambit;Sacrificio
Fire Blast;Llamarada
Fire Fang;Colmillo ígneo
Fire Lash;Látigo ígneo
Fire Pledge;Voto fuego
Fire Punch;Puño fuego
Fire Spin;Giro fuego
First Impression;Escaramuza
Fishious Rend;Branquibocado
Fissure;Fisura
Flail;Azote
Flame Burst;Pirotecnia
Flame Charge;Nitrocarga
Flame Wheel;Rueda fuego
Flamethrower;Lanzallamas
Flare Blitz;Envite ígneo
Flash Cannon;Cañón resplandor
Flash;Destello
Flatter;Camelo
Fleur Cannon;Cañón floral
Fling;Lanzamiento
Flip Turn;Viraje
Floaty Fall;Pikapicado
Floral Healing;Cura floral
Flower Shield;Defensa floral
Flower Trick;Truco floral
Fly;Vuelo
Flying Press;Plancha voladora
Focus Blast;Onda certera
Focus Energy;Foco energía
Focus Punch;Puño certero
Follow Me;Señuelo
Force Palm;Palmeo
Foresight;Profecía
Forest’s Curse;Condena silvana
Foul Play;Juego sucio
Freeze Shock;Rayo gélido
Freeze-Dry;Liofilización
Freezing Glare;Mirada heladora
Freezy Frost;Glaceoprisma
Frenzy Plant;Planta feroz
Frost Breath;Vaho gélido
Frustration;Frustración
Fury Attack;Ataque furia
Fury Cutter;Corte furia
Fury Swipes;Golpes furia
Fusion Bolt;Rayo fusión
Fusion Flare;Llama fusión
Future Sight;Premonición
Gastro Acid;Bilis
Gear Grind;Rueda doble
Gear Up;Piñón auxiliar
Genesis Supernova;Supernova original
Geomancy;Geocontrol
Giga Drain;Gigadrenado
Giga Impact;Gigaimpacto
Gigaton Hammer;Martillo colosal
Gigavolt Havoc;Gigavoltio destructor
Glacial Lance;Lanza glacial
Glaciate;Mundo gélido
Glaive Rush;Asalto espadón
Glare;Deslumbrar
Glitzy Glow;Espeaura
Grass Knot;Hierba lazo
Grass Pledge;Voto planta
Grass Whistle;Silbato
Grassy Glide;Fitoimpulso
Grassy Terrain;Campo de hierba
Grav Apple;Fuerza G
Gravity;Gravedad
Growl;Gruñido
Growth;Desarrollo
Grudge;Rabia
Guard Split;Isoguardia
Guard Swap;Cambiadefensa
Guardian of Alola;Cólera del guardián
Guillotine;Guillotina
Gunk Shot;Lanzamugre
Gust;Tornado
Gyro Ball;Giro bola
Hail;Granizo
Hammer Arm;Machada
Happy Hour;Paga extra
Hard Press;Prensa metálica
Harden;Fortaleza
Haze;Niebla
Head Charge;Ariete
Head Smash;Testarazo
Headbutt;Golpe cabeza
Headlong Rush;Arremetida
Heal Bell;Cascabel cura
Heal Block;Anticura
Heal Order;Auxilio
Heal Pulse;Pulso cura
Healing Wish;Deseo cura
Heart Stamp;Arrumaco
Heart Swap;Cambiaalmas
Heat Crash;Golpe calor
Heat Wave;Onda ígnea
Heavy Slam;Cuerpo pesado
Helping Hand;Refuerzo
Hex;Infortunio
Hidden Power;Poder oculto
High Horsepower;Fuerza equina
High Jump Kick;Pat. salto alta
Hold Back;Clemencia
Hold Hands;Manos juntas
Hone Claws;Afilagarras
Horn Attack;Cornada
Horn Drill;Perforador
Horn Leech;Asta drenaje
Howl;Aullido
Hurricane;Vendaval
Hydro Cannon;Hidrocañón
Hydro Pump;Hidrobomba
Hydro Steam;Hidrovapor
Hydro Vortex;Hidrovórtice abisal
Hyper Beam;Hiperrayo
Hyper Drill;Hipertaladro
Hyper Fang;Hipercolmillo
Hyper Voice;Vozarrón
Hyperspace Fury;Cerco dimensión
Hyperspace Hole;Paso dimensional
Hypnosis;Hipnosis
Ice Ball;Bola hielo
Ice Beam;Rayo hielo
Ice Burn;Llama gélida
Ice Fang;Colmillo hielo
Ice Hammer;Martillo hielo
Ice Punch;Puño hielo
Ice Shard;Esquirla helada
Ice Spinner;Pirueta helada
Icicle Crash;Chuzos
Icicle Spear;Carámbano
Icy Wind;Viento hielo
Imprison;Sellar
Incinerate;Calcinación
Infernal Parade;Marcha espectral
Inferno Overdrive;Hecatombe pírica
Inferno;Infierno
Infestation;Acoso
Ingrain;Arraigo
Instruct;Mandato
Ion Deluge;Cortina plasma
Iron Defense;Defensa férrea
Iron Head;Cabeza de hierro
Iron Tail;Cola férrea
Ivy Cudgel;Garrote liana
Jaw Lock;Presa maxilar
Jet Punch;Puño jet
Judgment;Sentencia
Jump Kick;Patada salto
Jungle Healing;Cura selvática
Karate Chop;Golpe kárate
Kinesis;Kinético
King’s Shield;Escudo real
Knock Off;Desarme
Kowtow Cleave;Genufendiente
Land’s Wrath;Fuerza telúrica
Laser Focus;Aguzar
Lash Out;Desahogo
Last Resort;Última baza
Last Respects;Homenaje póstumo
Lava Plume;Humareda
Leaf Blade;Hoja aguda
Leaf Storm;Lluevehojas
Leaf Tornado;Ciclón de hojas
Leafage;Follaje
Leech Life;Chupavidas
Leech Seed;Drenadoras
Leer;Malicioso
Let’s Snuggle Forever;Somanta amistosa
Lick;Lengüetazo
Life Dew;Gota vital
Light Screen;Pantalla de luz
Light That Burns the Sky;Fotodestrucción apocalíptica
Light of Ruin;Luz aniquiladora
Liquidation;Hidroariete
Lock-On;Fijar blanco
Lovely Kiss;Beso amoroso
Low Kick;Patada baja
Low Sweep;Puntapié
Lucky Chant;Conjuro
Lumina Crash;Fotocolisión
Lunar Blessing;Plegaria lunar
Lunar Dance;Danza lunar
Lunge;Plancha
Luster Purge;Resplandor
Mach Punch;Ultrapuño
Magic Coat;Capa mágica
Magic Powder;Polvo mágico
Magic Room;Zona mágica
Magical Leaf;Hoja mágica
Magical Torque;Feerichoque
Magma Storm;Lluvia ígnea
Magnet Bomb;Bomba imán
Magnet Rise;Levitón
Magnetic Flux;Aura magnética
Magnitude;Magnitud
Make It Rain;Fiebre dorada
Malicious Moonsault;Hiperplancha oscura
Malignant Chain;Cadena virulenta
Mat Block;Escudo tatami
Matcha Gotcha;Cañón batidor
Max Airstream;Maxiciclón
Max Darkness;Maxisombra
Max Flare;Maxignición
Max Flutterby;Maxinsecto
Max Geyser;Maxichorro
Max Guard;Maxibarrera
Max Hailstorm;Maxihelada
Max Knuckle;Maxipuño
Max Lightning;Maxitormenta
Max Mindstorm;Maxionda
Max Ooze;Maxiácido
Max Overgrowth;Maxiflora
Max Phantasm;Maxiespectro
Max Quake;Maxitemblor
Max Rockfall;Maxilito
Max Starfall;Maxiestela
Max Steelspike;Maximetal
Max Strike;Maxiataque
Max Wyrmwind;Maxidraco
Me First;Yo primero
Mean Look;Mal de ojo
Meditate;Meditación
Mega Drain;Megaagotar
Mega Kick;Megapatada
Mega Punch;Megapuño
Megahorn;Megacuerno
Memento;Legado
Menacing Moonraze Maelstrom;Deflagración lunar
Metal Burst;Represión metal
Metal Claw;Garra metal
Metal Sound;Eco metálico
Meteor Assault;Asalto estelar
Meteor Beam;Rayo meteórico
Meteor Mash;Puño meteoro
Metronome;Metrónomo
Mighty Cleave;Filo potente
Milk Drink;Batido
Mimic;Mimético
Mind Blown;Cabeza sorpresa
Mind Reader;Telépata
Minimize;Reducción
Miracle Eye;Gran ojo
Mirror Coat;Manto espejo
Mirror Move;Espejo
Mirror Shot;Disparo espejo
Mist Ball;Bola neblina
Mist;Neblina
Misty Explosion;Bruma explosiva
Misty Terrain;Campo de niebla
Moonblast;Fuerza lunar
Moongeist Beam;Rayo umbrío
Moonlight;Luz lunar
Morning Sun;Sol matinal
Mortal Spin;Giro mortífero
Mountain Gale;Viento carámbano
Mud Bomb;Bomba fango
Mud Shot;Disparo lodo
Mud Sport;Chapoteo lodo
Mud-Slap;Bofetón lodo
Muddy Water;Agua lodosa
Multi-Attack;Multiataque
Mystical Fire;Llama embrujada
Mystical Power;Poder místico
